,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_2,ID,tmdb_1,ID,0.8992147445678711,numerical,True
1,imdb_3,Summary,rotten_tomatoes_2,Summary,0.8806785345077515,textual,True
2,imdb_2,director,tmdb_1,director(s),0.8717948794364929,textual,True
3,metacritic_1,ID,rotten_tomatoes_4,movie_ind,0.8512168526649475,numerical,True
4,tmdb_2,stars,tmdb_3,actors,0.8418428301811218,textual,True
5,tmdb_2,year,tmdb_3,year,0.8414694666862488,numerical,True
6,imdb_3,Creators,rotten_tomatoes_2,Creators,0.841460108757019,textual,True
7,imdb_3,Cast,rotten_tomatoes_2,Cast,0.835639476776123,textual,True
8,imdb_2,name,tmdb_1,title,0.8335931301116943,textual,True
9,metacritic_3,release year,tmdb_2,year,0.8288882374763489,numerical,True
10,metacritic_1,ID,tmdb_3,id,0.8209101557731628,numerical,True
11,metacritic_1,_id,roger_ebert_1,id,0.8167557716369629,numerical,True
12,imdb_3,Genre,rotten_tomatoes_2,Genre,0.8128460049629211,textual,True
13,imdb_4,year,tmdb_2,year,0.8093340992927551,numerical,True
14,imdb_1,Creator,rotten_tomatoes_1,Creator,0.8086285591125488,textual,True
15,imdb_2,year,tmdb_1,year,0.8051755428314209,numerical,True
16,imdb_3,Director,rotten_tomatoes_2,Director,0.803849995136261,textual,True
17,rotten_tomatoes_1,Creator,rotten_tomatoes_3,star2,0.79913729429245,textual,False
18,tmdb_2,_id,tmdb_3,_id,0.7946234941482544,numerical,True
19,rotten_tomatoes_4,movie_ind,tmdb_3,id,0.7913528680801392,numerical,True
20,imdb_3,Duration,rotten_tomatoes_2,Duration,0.7865307331085205,textual,True
21,imdb_4,year,tmdb_3,year,0.7856220602989197,numerical,True
22,metacritic_3,release year,tmdb_3,year,0.7790263891220093,numerical,True
23,rotten_tomatoes_4,name,tmdb_3,title,0.7734017372131348,textual,True
24,imdb_1,Director,rotten_tomatoes_1,Director,0.7688136100769043,textual,True
25,amazon_1,id,imdb_4,id,0.7631908059120178,numerical,True
26,amazon_1,id,tmdb_2,_id,0.7630935907363892,numerical,True
27,imdb_4,movie_name,tmdb_2,name,0.762355387210846,textual,True
28,imdb_4,id,tmdb_2,_id,0.7616143226623535,numerical,True
29,imdb_3,Title,rotten_tomatoes_2,Title,0.7582512497901917,textual,True
30,metacritic_1,Actors,rotten_tomatoes_4,star,0.7577753663063049,textual,True
31,metacritic_3,genres,walmart_1,genre,0.757242739200592,textual,True
32,imdb_4,year,metacritic_3,release year,0.7571991682052612,numerical,True
33,imdb_1,Id,rotten_tomatoes_1,Id,0.7526627779006958,textual,True
34,imdb_1,Creator,imdb_3,Creators,0.7507628798484802,textual,True
35,imdb_3,Creators,roger_ebert_1,actors,0.7492189407348633,textual,False
36,imdb_2,writers,tmdb_1,writer(s),0.7465583682060242,textual,True
37,imdb_3,Rating,rotten_tomatoes_2,Rating,0.7459920048713684,textual,True
38,imdb_1,ReleaseDate,rotten_tomatoes_1,Release Date,0.7459350228309631,textual,True
39,rotten_tomatoes_1,Director,rotten_tomatoes_3,star1,0.7456904053688049,textual,False
40,metacritic_1,Name,tmdb_3,title,0.7423558831214905,textual,True
41,metacritic_3,starring,roger_ebert_1,actors,0.7413234114646912,textual,True
42,metacritic_2,title,metacritic_3,title,0.7409332990646362,textual,True
43,imdb_4,id,metacritic_3,_id,0.7358056902885437,numerical,True
44,rotten_tomatoes_1,Creator,rotten_tomatoes_3,star3,0.7355861067771912,textual,False
45,imdb_1,Creator,rotten_tomatoes_3,star3,0.7328563928604126,textual,False
46,metacritic_3,rating,tmdb_2,subtext,0.7327690720558167,textual,True
47,imdb_3,Year,rotten_tomatoes_2,Year,0.7322686314582825,mixed,False
48,imdb_3,Duration,imdb_4,duration,0.729746401309967,textual,True
49,metacritic_1,ID,metacritic_3,id,0.7277171611785889,numerical,True
50,metacritic_1,Year,roger_ebert_1,year,0.7264770269393921,numerical,True
51,metacritic_2,release_year,tmdb_2,year,0.7264121770858765,numerical,True
52,roger_ebert_1,movie_name,walmart_1,name,0.7253411412239075,textual,True
53,roger_ebert_1,actors,rotten_tomatoes_2,Creators,0.725273847579956,textual,False
54,imdb_1,Creator,roger_ebert_1,actors,0.7238837480545044,textual,False
55,metacritic_1,Actors,walmart_1,stars,0.7230163216590881,textual,True
56,tmdb_2,stars,walmart_1,stars,0.7222721576690674,textual,True
57,imdb_1,Id,walmart_1,_id,0.7218008041381836,textual,True
58,metacritic_1,Actors,tmdb_3,writers,0.72069251537323,textual,False
59,imdb_3,Creators,metacritic_3,starring,0.7189836502075195,textual,False
60,tmdb_3,_id,walmart_1,_id,0.7181278467178345,numerical,True
61,imdb_1,YearRange,rotten_tomatoes_1,Year,0.7175056338310242,textual,True
62,metacritic_3,_id,tmdb_3,_id,0.7165766358375549,numerical,True
63,metacritic_3,_id,tmdb_2,_id,0.7159554362297058,numerical,True
64,imdb_1,Creator,rotten_tomatoes_3,star2,0.7133328914642334,textual,False
65,rotten_tomatoes_4,_id,tmdb_2,_id,0.7128868699073792,numerical,True
66,metacritic_3,id,tmdb_3,id,0.708976149559021,numerical,True
67,imdb_4,year,metacritic_2,release_year,0.7084548473358154,numerical,True
68,imdb_4,id,tmdb_3,_id,0.7081663608551025,numerical,True
69,imdb_1,Creator,rotten_tomatoes_2,Creators,0.7046169638633728,textual,True
70,tmdb_2,name,tmdb_3,title,0.7034743428230286,textual,True
71,metacritic_4,score,tmdb_4,runtime,0.7028931975364685,numerical,False
72,metacritic_3,starring,walmart_1,stars,0.7023137211799622,textual,True
73,rotten_tomatoes_1,Id,tmdb_3,_id,0.6999856233596802,textual,True
74,imdb_4,actors,metacritic_3,starring,0.6998788714408875,textual,True
75,tmdb_2,genres,walmart_1,genre,0.6997048258781433,textual,True
76,roger_ebert_1,id,walmart_1,_id,0.6995697021484375,numerical,True
77,imdb_4,movie_name,metacritic_2,title,0.6988368034362793,textual,True
78,metacritic_3,director,metacritic_4,director,0.693684458732605,textual,True
79,metacritic_1,Director,tmdb_3,directors,0.6934649348258972,textual,True
80,rotten_tomatoes_3,id,tmdb_2,_id,0.6911302208900452,numerical,True
81,metacritic_2,release_year,tmdb_3,year,0.6908831596374512,numerical,True
82,imdb_1,Creator,metacritic_3,starring,0.69044029712677,textual,False
83,rotten_tomatoes_4,_id,tmdb_3,_id,0.6898956894874573,numerical,True
84,rotten_tomatoes_4,year,tmdb_3,year,0.687199592590332,numerical,True
85,metacritic_1,_id,tmdb_3,_id,0.6869196891784668,numerical,True
86,rotten_tomatoes_1,Year,tmdb_2,year,0.6867505311965942,numerical,True
87,metacritic_2,_id,metacritic_3,_id,0.6840513348579407,numerical,True
88,tmdb_2,_id,walmart_1,_id,0.6828823089599609,numerical,True
89,tmdb_3,title,walmart_1,name,0.6825729608535767,textual,True
